fid;hierarchie;largeur_m;emprise_libre_m;stationnement;charge;canopee;longueur_m
1;boulevard;18;7.5;49;0.386;0.18;134.4
2;boulevard;18;7.5;5;0.497;0.18;12.9
3;boulevard;18;7.5;46;0.786;0.18;126
4;boulevard;20;9.5;19;0.588;0.18;51.3
5;boulevard;18;7.5;24;0.644;0.18;65.7
6;boulevard;18;7.5;22;0.667;0.18;61.8
7;boulevard;20;9.5;38;0.669;0.18;104.6
8;boulevard;18;7.5;21;0.788;0.18;58.5
9;boulevard;18;7.5;5;0.788;0.18;14.6
10;boulevard;20;9.5;6;0.788;0.18;16.1
11;boulevard;20;9.5;7;0.962;0.18;20.3
12;boulevard;20;9.5;26;0.611;0.18;72.5
13;boulevard;18;7.5;26;0.87;0.18;70.3
14;boulevard;18;7.5;21;0.513;0.18;58.7
15;boulevard;18;7.5;23;0.478;0.18;62.3
16;boulevard;18;7.5;76;0.783;0.18;209.9
17;boulevard;20;9.5;21;0.729;0.18;56.9
18;boulevard;18;7.5;7;0.705;0.18;19.9
19;boulevard;18;7.5;15;0.605;0.18;40.4
20;boulevard;18;7.5;6;0.606;0.18;15.6
21;boulevard;18;7.5;27;0.866;0.18;73.8
22;boulevard;18;7.5;14;0.539;0.18;38.8
23;boulevard;18;7.5;35;0.436;0.18;95.2
24;boulevard;18;7.5;56;0.386;0.18;155.2
25;rue;10.3;1.8;0;0.116;0.1;79.7
26;rue;12;3.5;9;0.078;0.1;49.5
27;rue;10;1.5;0;0.131;0.1;58.7
28;rue;10;1.5;0;0.065;0.1;29.4
29;rue;12.4;3.9;15;0.028;0.1;82.2
30;rue;13;4.5;13;0.136;0.1;36.7
31;rue;14.6;6.1;35;0.068;0.1;95
32;rue;12.1;3.6;12;0.086;0.1;67.4
33;rue;10;1.5;0;0.301;0.1;11.4
34;rue;10.1;1.6;0;0.323;0.1;64.2
35;rue;15;6.5;43;0.073;0.1;119.5
36;rue;14;5.5;18;0.157;0.1;49.7
37;rue;12.2;3.7;14;0.234;0.1;74.7
38;rue;10;1.5;0;0.26;0.1;57.4
39;ruelle;5;1;0;0.059;0.02;33.9
40;ruelle;5.2;1.2;0;0.014;0.02;70.6
41;ruelle;5;1;0;0.09;0.02;24.6
42;rue;10.2;1.7;0;0.082;0.1;73.2
43;rue;15.1;6.6;45;0.165;0.1;123.7
